title,company,location,salary_ngn,skills,experience,job_type,source
Machine Learning Engineer,Jumia,Ibadan,414000,"MLOps, PyTorch",Mid Level,Full Time,Nigerian Job Market 2024
Machine Learning Engineer,Paystack,Lagos,858000,"Docker, SQL",Entry Level,Contract,Nigerian Job Market 2024
Software Engineer,MTN Nigeria,Kano,458000,"Java, Docker, Python, SQL",Mid Level,Hybrid,Nigerian Job Market 2024
Business Analyst,Softcom,Remote,292000,"Excel, Requirements Analysis",Mid Level,Contract,Nigerian Job Market 2024
Cloud Engineer,Interswitch,Enugu,644000,"AWS, Terraform",Senior Level,Remote,Nigerian Job Market 2024
Cloud Engineer,Andela,Remote,344000,"Terraform, Linux, AWS, Azure",Senior Level,Contract,Nigerian Job Market 2024
API Developer,SystemSpecs,Abuja,235000,"SQL, Python",Mid Level,Full Time,Nigerian Job Market 2024
Full Stack Developer,MainOne,Enugu,342000,"Docker, Python, Node.js",Mid Level,Remote,Nigerian Job Market 2024
API Developer,Jumia,Port Harcourt,549000,"REST API, Postman, Python, Node.js",Lead,Hybrid,Nigerian Job Market 2024
Data Scientist,Softcom,Lagos,723000,"Pandas, Statistics, Machine Learning, TensorFlow",Mid Level,Full Time,Nigerian Job Market 2024
Cloud Engineer,Airtel Nigeria,Enugu,623000,"Docker, AWS, Azure",Mid Level,Hybrid,Nigerian Job Market 2024
Full Stack Developer,Jumia,Remote,529000,"Node.js, Python, Docker",Lead,Hybrid,Nigerian Job Market 2024
Frontend Developer,Andela,Lagos,262000,"TypeScript, CSS",Entry Level,Contract,Nigerian Job Market 2024
Machine Learning Engineer,Jobberman,Remote,463000,"SQL, Docker, Python, TensorFlow",Senior Level,Full Time,Nigerian Job Market 2024
Machine Learning Engineer,SystemSpecs,Kano,417000,"Docker, PyTorch, MLOps, Python",Mid Level,Hybrid,Nigerian Job Market 2024
Data Analyst,SystemSpecs,Ibadan,284000,"SQL, Tableau, Python, Excel",Mid Level,Remote,Nigerian Job Market 2024
Cloud Engineer,Flutterwave,Abuja,465000,"Linux, AWS, Docker, Azure",Senior Level,Remote,Nigerian Job Market 2024
Software Engineer,Andela,Remote,229000,"Docker, Java",Entry Level,Contract,Nigerian Job Market 2024
Python Developer,Access Bank,Kano,517000,"SQL, Django, Flask",Mid Level,Contract,Nigerian Job Market 2024
API Developer,Access Bank,Remote,359000,"SQL, Node.js, FastAPI",Entry Level,Contract,Nigerian Job Market 2024
Software Engineer,Airtel Nigeria,Ibadan,232000,"Java, Docker, Python",Entry Level,Full Time,Nigerian Job Market 2024
API Developer,Paystack,Enugu,523000,"Python, REST API",Entry Level,Contract,Nigerian Job Market 2024
Data Scientist,Airtel Nigeria,Remote,592000,"Machine Learning, Statistics, Pandas",Mid Level,Hybrid,Nigerian Job Market 2024
Cloud Engineer,Talentbase,Enugu,716000,"AWS, Kubernetes",Lead,Hybrid,Nigerian Job Market 2024
DevOps Engineer,Softcom,Abuja,742000,"Docker, Terraform, Linux, Kubernetes",Mid Level,Contract,Nigerian Job Market 2024
Software Engineer,Terragon Group,Remote,474000,"Python, Git, Agile",Mid Level,Full Time,Nigerian Job Market 2024
DevOps Engineer,Jumia,Port Harcourt,713000,"Docker, Terraform, Linux, CI/CD",Lead,Hybrid,Nigerian Job Market 2024
DevOps Engineer,Flutterwave,Kano,409000,"Docker, Kubernetes, CI/CD",Senior Level,Hybrid,Nigerian Job Market 2024
Data Scientist,Cowrywise,Remote,466000,"Pandas, Statistics, SQL, Python",Mid Level,Full Time,Nigerian Job Market 2024
Business Analyst,Paystack,Lagos,427000,"Agile, Power BI",Lead,Contract,Nigerian Job Market 2024
Data Analyst,Dangote Group,Abuja,410000,"SQL, Python",Mid Level,Hybrid,Nigerian Job Market 2024
Backend Developer,Paystack,Abuja,491000,"PostgreSQL, REST API",Lead,Remote,Nigerian Job Market 2024
IT Support Engineer,Jumia,Remote,146000,"SQL, Windows Server",Lead,Contract,Nigerian Job Market 2024
